User_Rating_out_of_5,Review_Title,Review_Body
5.0,These book will be helpful for self revision,"Really these book are useful for all , who are self preparing"
5.0,Good for foundation for your preparation.,The handwritten notes are its best part.
1.0,"Very Beginner level books, not toppers level notes.","Never judge a book by it's cover.
It's worst from inside. It's very beginner level. You can get more advanced notes from youtube classes. Not needed to buy this VERY much costly book.📚
It doesn't meet my expectation.

Even the paper is very cheap and thin compared to its cost. Atleast they need to improve paper quality."
5.0,...,Packaging was so good. Happy with the recieved product.
5.0,Good product,Help full for those when you have not ufficient time and funds .
5.0,Study material.,Great! Easy to understand the notes and very helpful.👌
1.0,Waste of money and time,"A lot of mistakes
Not at all for complete syllabus
It is mainly for basics and an average material with ba printin quality
Overall should not buy"
4.0,SSC CGL,"like this product.
value for money.
very useful for beginners."
5.0,Good quality stuuf,Handy notes helped me a lot and they are latest
5.0,Ssc cgl,Good chance of selection by preparing this books
1.0,Waste of money,Guys don't buy it most answers are wrong in english book.
5.0,Good quality and easy to understand,Notes are easy to understand
1.0,Worst product ever I had bought from Amazon,There so many mistakes in every single page. And the Paper quality is also very low. Don't buy these books.
1.0,Reasoning and aptitude is not upto the mark,"There is no clear solutions and so many mistakes. And only basic topics are covered. And there is no tricky problems. Helpful for freshers I think they also got confuse while reading these topics

So much value. Especially worst regarding reasoning and aptitude"
5.0,Good,"The watermark is so clear that it is sometimes difficult to read the notes. Other than that, It is excellent 👍"
5.0,Excellent notes…,Excellent notes…
5.0,Very good to go revise all topics,It's most powerful 💪 book 📚 to revise all topics short terms
5.0,Easy Tricks and understand,Best notes for preparation i like this books
5.0,Amazing study kit,"Very easy tricks, solved questions , really helpful"
1.0,Wrong answers,"Here,The answer for the given question is wrong."
5.0,BEST NOTES,Best Notes for CGL ! Many tricks and concepts are included also in chapterwise!
5.0,Good question given,This book is best for everyone and helpfull. Best for all kind of people for learn and clear hov exam easily.
5.0,Best books,"Good to use,best books for compitative exam"
1.0,Worst product wanted to return but Amazon denied it,I have listened much about this order but it is not upto the marks which I have thought when I started a return in Amazon window they denied a return worst customer dealing experience
5.0,Perfect book for CGL notes,"A complete syllabus book for CGL preparation and with defined terms and topics . For students it's very good choice and budget friendly.
I have used and after 3 month I am putting actual review.. I suggest this product.."
5.0,Best notes,Good handwritten notes
5.0,Answer key available 👍,"It was very helpful and genuine product, helped me alot while preparing for my exams. You can blindly purchase this product."
1.0,Wrong Product Information displayed,This product is not based on 2022 CGL Exam. The handwriting on general science is hard to understand too. Not a core study material.
5.0,These books are very helpful for my preparation.,"Thanks to toppersnotes and amazon.
To providing us these kind of books
Which are very helpful to students.
Every book has filled detailed concept, which is written in daily language and understandable by everyone.
No teacher or any other needed to explain.
Just read and see examples
And got it .
Happy preparation .
If any one is searching for best books regarding any competitive exam, I prefer topper notes"
5.0,Quality of the pages are good and content are also sufficient for ssc cgl exam,I like because of the content and also because of the quality of pages good enough to purchase also have great content in maths
5.0,Easy to read,Received books in good condition. Easy to read but handwriting could be better in general science and arithmetic then font size needs to be bigger in general awareness
5.0,Very helpful,Very helpful for SSC ASPIRANT. Very good. Notes are very nice. And easy to understand . Easy to learn . Thank you
5.0,Complete information and easy to understand,These notes are really helpful.... Its been more than a week since I bought it and these are really simple and easy to understand....
1.0,Full paisa waste,"Lacks quality quantity and latest tricks , concepts . So many mistakes . Reading them was a total waste of time"
5.0,Ssc cgl,It is Very helpful for cgl students and concepts are clear or justified and it is also save yours golden time.
